town,trade,issued_date,street_masked,valuation
Rockland,Electrical,2026-08-21,Butternut Ln,
Randolph,Electrical,2026-08-21,E Alden Av,
Randolph,Renovation/Remodel,2026-08-21,Alice Rd,
Randolph,Renovation/Remodel,2026-08-21,E Alden Av,
Easton,Electrical,2026-08-21,Turnpike Street,
Easton,Renovation/Remodel,2026-08-21,Pine Street,
Hanson,Renovation/Remodel,2026-08-21,Crescent Pl,
Attleboro,Renovation/Remodel,2026-08-21,Chartley Brook Ln,
Braintree,Roofing,2026-08-20,Franklin Street,
Braintree,Windows/Doors/Siding,2026-08-20,Evergreen Avenue,
Braintree,Other,2026-08-20,Granite Street,
Braintree,Windows/Doors/Siding,2026-08-20,Royal Lake Drive,
Braintree,Roofing,2026-08-20,Matthew Lane,
Braintree,Gas,2026-08-20,Commerce Drive,
Braintree,HVAC,2026-08-20,Oak Hill Road,
Braintree,Other,2026-08-20,Union Street,
Braintree,HVAC,2026-08-20,Grove Street,
Braintree,Kitchen/Bath,2026-08-20,Washington Street,
Braintree,HVAC,2026-08-20,Adams Street,
Braintree,Kitchen/Bath,2026-08-20,Miller Avenue,
Braintree,Electrical,2026-08-20,Winthrop Road,
Braintree,Roofing,2026-08-20,Graziano Drive,
Braintree,Electrical,2026-08-20,Linda Road,
Braintree,Roofing,2026-08-20,Hickory Road,
Braintree,Windows/Doors/Siding,2026-08-20,Central Street,
Braintree,Kitchen/Bath,2026-08-20,Cabot Avenue,
Braintree,Electrical,2026-08-20,Strathmore Road,
Braintree,Other,2026-08-20,Commercial Street,
Braintree,Kitchen/Bath,2026-08-20,West Street,
Braintree,HVAC,2026-08-20,Liberty Street,
Braintree,Roofing,2026-08-20,Pond Street,
Braintree,Kitchen/Bath,2026-08-20,Eleanor Drive,
Braintree,Building,2026-08-20,Thayer Road,
Braintree,Plumbing,2026-08-20,Shaw Street,
Braintree,Plumbing,2026-08-20,Davis Road,
Braintree,Gas,2026-08-20,Davis Road,
Braintree,Plumbing,2026-08-20,Spring Street,
Braintree,Roofing,2026-08-20,Trefton Drive,
Braintree,Other,2026-08-20,Zana Park Drive,
Braintree,Gas,2026-08-20,Hancock Street,
Braintree,Kitchen/Bath,2026-08-20,Hancock Street,
Braintree,Plumbing,2026-08-20,Grove Street,
Braintree,Other,2026-08-20,Common Street,
Braintree,HVAC,2026-08-20,Thayer Road,
Braintree,Building,2026-08-20,Congress Street,
Braintree,Other,2026-08-20,Arnold Street,
Hingham,Electrical,2026-08-20,Plymouth River Road,
Hingham,Renovation/Remodel,2026-08-20,Martins Cove Lane,
Hingham,Gas,2026-08-20,Whitaker Lane,
Hingham,Renovation/Remodel,2026-08-20,Garrison Road,
Hingham,Electrical,2026-08-20,Middle Street,
Hingham,Electrical,2026-08-20,Garrison Road,
Hingham,Renovation/Remodel,2026-08-20,Downer Avenue,
Hingham,Plumbing,2026-08-20,Middle Street,
Hingham,Renovation/Remodel,2026-08-20,West Street,
Hingham,Building,2026-08-20,Abington Street,
Hingham,Plumbing,2026-08-20,Kimball Beach Road,
Hingham,Gas,2026-08-20,Planters Fields Lane,
Hingham,Gas,2026-08-20,Hockley Drive,
Hingham,Renovation/Remodel,2026-08-20,Great Rock Road,
Hingham,Renovation/Remodel,2026-08-20,Liberty Pole Road,
Hingham,Building,2026-08-20,Lincoln Street,
Rockland,Deck/Porch,2026-08-20,Nevens Cir,
Rockland,Renovation/Remodel,2026-08-20,Greenwood St,
Rockland,Renovation/Remodel,2026-08-20,Forest St,
Rockland,Plumbing,2026-08-20,Union St,
Rockland,Renovation/Remodel,2026-08-20,Union St,
Rockland,Renovation/Remodel,2026-08-20,Summit St,
Rockland,Gas,2026-08-20,Concord St,
Rockland,Electrical,2026-08-20,Vfw Drive,
Falmouth,Electrical,2026-08-20,Bonito Ave,
Falmouth,Gas,2026-08-20,Grouse St,
Falmouth,Renovation/Remodel,2026-08-20,Coleridge Dr,
Falmouth,Plumbing,2026-08-20,Chester St,
Falmouth,Renovation/Remodel,2026-08-20,Central Ave,
Falmouth,Electrical,2026-08-20,Cinroc Cir,
Falmouth,Gas,2026-08-20,Chester St,
Falmouth,Gas,2026-08-20,Altons Ln,
Falmouth,Renovation/Remodel,2026-08-20,Edgewater Dr West,
Falmouth,Electrical,2026-08-20,Quimby Ln,
Falmouth,Renovation/Remodel,2026-08-20,Nemasket Rd,
Falmouth,Plumbing,2026-08-20,Avenue A,
Falmouth,Plumbing,2026-08-20,Worcester Ct,
Falmouth,HVAC,2026-08-20,Upalong Rd,
Falmouth,Renovation/Remodel,2026-08-20,Lakeview Ave,
Falmouth,Plumbing,2026-08-20,Altons Ln,
Falmouth,Electrical,2026-08-20,Pelican Ln,
Falmouth,Roofing,2026-08-20,Pondlet Pl,
Falmouth,Other,2026-08-20,Edgewater Dr East,
Falmouth,Renovation/Remodel,2026-08-20,Montauk St,
Falmouth,Windows/Doors/Siding,2026-08-20,Sandcastle Dr,
Falmouth,Gas,2026-08-20,Riddle Hill Rd,
Falmouth,Electrical,2026-08-20,Main St,
Falmouth,Gas,2026-08-20,Streeter Hill Rd,
Falmouth,Gas,2026-08-20,Ridgeview Dr,
Falmouth,Electrical,2026-08-20,Edgewater Dr East,
Falmouth,Electrical,2026-08-20,Chester St,
Falmouth,Gas,2026-08-20,Althea Rd,
Falmouth,Renovation/Remodel,2026-08-20,Belvidere Rd,
Falmouth,Gas,2026-08-20,Highland Ave,
Falmouth,Electrical,2026-08-20,Central Ave,
Falmouth,Gas,2026-08-20,Maker Ln,
Falmouth,Gas,2026-08-20,Cliffwood Ln,
Falmouth,Windows/Doors/Siding,2026-08-20,Thomas Cir,
Falmouth,Gas,2026-08-20,West Falmouth Hwy,
Mashpee,Renovation/Remodel,2026-08-20,Snead Dr,
Mashpee,Electrical,2026-08-20,Monahansett Rd,
Mashpee,Renovation/Remodel,2026-08-20,Ships Anchor Dr,
Mashpee,Gas,2026-08-20,Fox Hill Rd,
Mashpee,Gas,2026-08-20,Sipps Rd,
Mashpee,Gas,2026-08-20,Snead Dr,
Mashpee,Gas,2026-08-20,Bayshore Dr,
Mashpee,Renovation/Remodel,2026-08-20,Pleasant Park Dr,
Mashpee,Plumbing,2026-08-20,Fox Hill Rd,
Mashpee,Plumbing,2026-08-20,Sipps Rd,
Mashpee,Plumbing,2026-08-20,Bluff Ave,
Mashpee,Electrical,2026-08-20,Milestone Way,
Mashpee,Plumbing,2026-08-20,Waterline Dr South,
Mashpee,Other,2026-08-20,Spoondrift Cir,
Mashpee,Renovation/Remodel,2026-08-20,The Paddock Cir,
Sandwich,Electrical,2026-08-20,Glacier Path,
Sandwich,Gas,2026-08-20,Old County Road,
Sandwich,Gas,2026-08-20,Paradise Farm Lane,
Sandwich,Renovation/Remodel,2026-08-20,Sandy Neck Road,
Sandwich,Renovation/Remodel,2026-08-20,Belmont Avenue,
Sandwich,Electrical,2026-08-20,Highfield Drive,
Sandwich,Renovation/Remodel,2026-08-20,Norse Pines Drive,
Sandwich,Electrical,2026-08-20,Route,
Randolph,Plumbing,2026-08-20,Fernandez Ci,
Randolph,Electrical,2026-08-20,Perley Evans Dr,
Randolph,Renovation/Remodel,2026-08-20,Grove St,
Randolph,Plumbing,2026-08-20,Randolph Rd,
Randolph,Renovation/Remodel,2026-08-20,Boylston St,
Randolph,Electrical,2026-08-20,Edwin St,
Randolph,Plumbing,2026-08-20,Memorial Pkwy,
Randolph,Gas,2026-08-20,Fernandez Ci,
Randolph,Building,2026-08-20,Warren St,
Randolph,Plumbing,2026-08-20,E Englewood Av,
Milton,Plumbing,2026-08-20,Harold St,
Milton,Plumbing,2026-08-20,Gulliver St,
Milton,Electrical,2026-08-20,Meagher Av,
Milton,Electrical,2026-08-20,Crown St,
Milton,Gas,2026-08-20,Houston Av,
